command,intent,direction,distance,duration,task,count
ascend 331ft,fly,up,331ft,-,-,-
move up by 11m,fly,up,11m,-,-,-
move up by 307ft,fly,up,307ft,-,-,-
move 36m north east,fly,north east,36m,-,-,-
move up by 223m,fly,up,223m,-,-,-
go 276m,fly,-,276m,-,-,-
descend 193m,fly,down,193m,-,-,-
fly 69m NE,fly,NE,69m,-,-,-
head south east for 211m,fly,south east,211m,-,-,-
climb 159m,fly,up,159m,-,-,-
fly 252ft,fly,-,252ft,-,-,-
ascend 130ft,fly,up,130ft,-,-,-
ascend 193m,fly,up,193m,-,-,-
head north-east for 0.6km,fly,north-east,0.6km,-,-,-
climb 122ft,fly,up,122ft,-,-,-
move 73m left,fly,left,73m,-,-,-
move 144m south-east,fly,south-east,144m,-,-,-
ascend 474ft,fly,up,474ft,-,-,-
climb 69m,fly,up,69m,-,-,-
fly left,fly,left,-,-,-,-
head north-west for 214m,fly,north-west,214m,-,-,-
move 231m right,fly,right,231m,-,-,-
ascend 73m,fly,up,73m,-,-,-
head north-east for 144m,fly,north-east,144m,-,-,-
head south for 73m,fly,south,73m,-,-,-
climb 133ft,fly,up,133ft,-,-,-
go 88m,fly,-,88m,-,-,-
move 73m NW,fly,NW,73m,-,-,-
fly 69m NW,fly,NW,69m,-,-,-
climb 193m,fly,up,193m,-,-,-
descend 474ft,fly,down,474ft,-,-,-
fly 474ft north,fly,north,474ft,-,-,-
head right for 231m,fly,right,231m,-,-,-
go 130ft,fly,-,130ft,-,-,-
move up by 0.6km,fly,up,0.6km,-,-,-
head NW for 0.6km,fly,NW,0.6km,-,-,-
climb 307ft,fly,up,307ft,-,-,-
go 282m,fly,-,282m,-,-,-
fly south,fly,south,-,-,-,-
go 69m south,fly,south,69m,-,-,-
climb 282m,fly,up,282m,-,-,-
go 69m,fly,-,69m,-,-,-
descend 36m,fly,down,36m,-,-,-
climb 211m,fly,up,211m,-,-,-
fly 186m north-west,fly,north-west,186m,-,-,-
climb 186m,fly,up,186m,-,-,-
lower 219ft,fly,down,219ft,-,-,-
move 307ft NW,fly,NW,307ft,-,-,-
climb 298m,fly,up,298m,-,-,-
lower 1.5km,fly,down,1.5km,-,-,-
fly south east,fly,south east,-,-,-,-
descend 331ft,fly,down,331ft,-,-,-
fly 88m,fly,-,88m,-,-,-
move up by 73m,fly,up,73m,-,-,-
fly 144m SW,fly,SW,144m,-,-,-
head east for 222m,fly,east,222m,-,-,-
lower 190m,fly,down,190m,-,-,-
fly 242ft SE,fly,SE,242ft,-,-,-
lower 307ft,fly,down,307ft,-,-,-
fly south-west,fly,south-west,-,-,-,-
lower 231m,fly,down,231m,-,-,-
go 193m left,fly,left,193m,-,-,-
go 73m north-east,fly,north-east,73m,-,-,-
descend 219ft,fly,down,219ft,-,-,-
head south east for 69m,fly,south east,69m,-,-,-
move 222m right,fly,right,222m,-,-,-
fly 69m north,fly,north,69m,-,-,-
go 0.6km,fly,-,0.6km,-,-,-
fly 0.6km,fly,-,0.6km,-,-,-
move up by 394ft,fly,up,394ft,-,-,-
move 278m north east,fly,north east,278m,-,-,-
ascend 190m,fly,up,190m,-,-,-
lower 130ft,fly,down,130ft,-,-,-
lower 214m,fly,down,214m,-,-,-
fly up,fly,up,-,-,-,-
move up by 278m,fly,up,278m,-,-,-
lower 223m,fly,down,223m,-,-,-
lower 0.9km,fly,down,0.9km,-,-,-
ascend 252ft,fly,up,252ft,-,-,-
move 193m north east,fly,north east,193m,-,-,-
lower 278m,fly,down,278m,-,-,-
move 159m north-west,fly,north-west,159m,-,-,-
ascend 307ft,fly,up,307ft,-,-,-
go 222m,fly,-,222m,-,-,-
go 57m,fly,-,57m,-,-,-
fly 282m north,fly,north,282m,-,-,-
climb 11m,fly,up,11m,-,-,-
lower 159m,fly,down,159m,-,-,-
lower 394ft,fly,down,394ft,-,-,-
go 122ft north west,fly,north west,122ft,-,-,-
lower 0.6km,fly,down,0.6km,-,-,-
fly 130ft,fly,-,130ft,-,-,-
move up by 2.6km,fly,up,2.6km,-,-,-
head north for 474ft,fly,north,474ft,-,-,-
ascend 282m,fly,up,282m,-,-,-
go 73m south-west,fly,south-west,73m,-,-,-
ascend 242ft,fly,up,242ft,-,-,-
fly 0.6km right,fly,right,0.6km,-,-,-
